GAME_ID,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,TS_PCT,POSS,PIE
0021200001,Wizards,91.3,101.1,-9.8,0.425,92,0.425
0021200001,Cavaliers,101.1,91.3,9.8,0.53,93,0.575
0021200002,Heat,122.4,110.3,12.1,0.645,98,0.56
0021200002,Celtics,110.3,122.4,-12.1,0.613,97,0.44
0021200003,Lakers,102.2,110.0,-7.8,0.502,89,0.457
0021200003,Mavericks,110.0,102.2,7.8,0.533,90,0.543
0021200004,Raptors,96.7,98.9,-2.2,0.443,91,0.456
0021200004,Pacers,98.9,96.7,2.2,0.529,91,0.544
0021200005,76ers,88.4,79.8,8.6,0.446,95,0.606
0021200005,Nuggets,79.8,88.4,-8.6,0.404,94,0.394
0021200006,Rockets,108.2,100.0,8.2,0.589,97,0.541
0021200006,Pistons,100.0,108.2,-8.2,0.531,96,0.459
0021200007,Kings,89.7,94.9,-5.2,0.478,97,0.375
0021200007,Bulls,94.9,89.7,5.2,0.497,98,0.625
0021200008,Spurs,103.1,97.9,5.2,0.541,96,0.49
0021200008,Hornets,97.9,103.1,-5.2,0.527,97,0.51
0021200009,Jazz,110.8,94.0,16.8,0.526,102,0.658
0021200009,Mavericks,94.0,110.8,-16.8,0.487,100,0.342
0021200010,Suns,91.4,93.5,-2.2,0.474,93,0.51
0021200010,Warriors,93.5,91.4,2.2,0.453,93,0.49
0021200011,Grizzlies,92.0,100.0,-8.0,0.464,100,0.428
0021200011,Clippers,100.0,92.0,8.0,0.582,101,0.572
0021200012,Trail Blazers,120.8,111.6,9.3,0.608,96,0.556
0021200012,Lakers,111.6,120.8,-9.3,0.616,95,0.444
0021200013,Knicks,96.7,104.3,-7.6,0.466,92,0.436
0021200013,Nets,104.3,96.7,7.6,0.483,92,0.564
0021200014,Spurs,93.5,91.3,2.2,0.5,92,0.552
0021200014,Thunder,91.3,93.5,-2.2,0.482,92,0.448
0021200015,Pacers,93.7,96.8,-3.1,0.469,95,0.485
0021200015,Bobcats,96.8,93.7,3.1,0.471,93,0.515
0021200016,Magic,108.5,93.7,14.8,0.543,94,0.591
0021200016,Nuggets,93.7,108.5,-14.8,0.464,95,0.409
0021200017,Bucks,103.1,91.7,11.5,0.542,96,0.571
0021200017,Celtics,91.7,103.1,-11.5,0.529,96,0.429
0021200018,Rockets,109.0,103.0,6.0,0.53,100,0.517
0021200018,Hawks,103.0,109.0,-6.0,0.551,99,0.483
0021200019,Cavaliers,89.6,121.1,-31.5,0.473,96,0.249
0021200019,Bulls,121.1,89.6,31.5,0.7,95,0.751
0021200020,Knicks,114.3,92.3,22.0,0.574,91,0.572
0021200020,Heat,92.3,114.3,-22.0,0.547,91,0.428
0021200021,Jazz,102.4,104.8,-2.4,0.476,84,0.428
0021200021,Hornets,104.8,102.4,2.4,0.505,84,0.572
0021200022,Trail Blazers,95.8,111.6,-15.7,0.462,96,0.358
0021200022,Thunder,111.6,95.8,15.7,0.588,95,0.642
0021200023,Kings,86.0,97.9,-11.9,0.416,93,0.35
0021200023,Timberwolves,97.9,86.0,11.9,0.447,94,0.65
0021200024,Suns,98.9,95.7,3.2,0.469,93,0.549
0021200024,Pistons,95.7,98.9,-3.2,0.452,93,0.451
0021200025,Lakers,101.1,111.7,-10.6,0.591,94,0.45
0021200025,Clippers,111.7,101.1,10.6,0.548,94,0.55
0021200026,Grizzlies,109.5,100.0,9.5,0.565,95,0.588
0021200026,Warriors,100.0,109.5,-9.5,0.537,94,0.412
0021200027,Wizards,92.5,96.7,-4.3,0.503,93,0.492
0021200027,Celtics,96.7,92.5,4.3,0.496,92,0.508
0021200028,Kings,89.9,96.4,-6.5,0.442,109,0.426
0021200028,Pacers,96.4,89.9,6.5,0.478,110,0.574
0021200029,Raptors,102.0,108.1,-6.0,0.538,98,0.459
0021200029,Nets,108.1,102.0,6.0,0.55,99,0.541
0021200030,Heat,121.4,118.4,3.1,0.627,98,0.584
0021200030,Nuggets,118.4,121.4,-3.1,0.559,98,0.416
0021200031,Hornets,97.8,91.1,6.7,0.523,91,0.554
0021200031,Bulls,91.1,97.8,-6.7,0.414,90,0.446
0021200032,Trail Blazers,92.2,82.5,9.7,0.483,103,0.592
0021200032,Rockets,82.5,92.2,-9.7,0.409,103,0.408
0021200033,Bucks,102.9,100.0,2.9,0.595,102,0.582
0021200033,Cavaliers,100.0,102.9,-2.9,0.533,102,0.418
0021200034,Mavericks,127.3,100.0,27.3,0.727,99,0.617
0021200034,Bobcats,100.0,127.3,-27.3,0.487,99,0.383
0021200035,Jazz,106.4,117.0,-10.6,0.577,94,0.42
0021200035,Spurs,117.0,106.4,10.6,0.654,94,0.58
0021200036,Clippers,110.0,112.9,-2.9,0.592,100,0.461
0021200036,Warriors,112.9,110.0,2.9,0.563,101,0.539
0021200037,76ers,91.3,109.9,-18.6,0.504,92,0.381
0021200037,Knicks,109.9,91.3,18.6,0.589,91,0.619
0021200038,Raptors,116.7,96.6,20.0,0.539,90,0.552
0021200038,Timberwolves,96.6,116.7,-20.0,0.554,89,0.448
0021200039,Suns,98.9,119.8,-20.8,0.475,95,0.373
0021200039,Magic,119.8,98.9,20.8,0.573,96,0.627
0021200040,Thunder,104.4,111.8,-7.4,0.589,91,0.478
0021200040,Hawks,111.8,104.4,7.4,0.566,93,0.522
0021200041,Lakers,121.3,88.8,32.6,0.611,89,0.73
0021200041,Pistons,88.8,121.3,-32.6,0.443,89,0.27
0021200042,76ers,95.7,119.6,-23.9,0.452,92,0.354
0021200042,Knicks,119.6,95.7,23.9,0.595,92,0.646
0021200043,Timberwolves,123.0,110.3,12.6,0.566,87,0.583
0021200043,Nets,110.3,123.0,-12.6,0.593,87,0.417
0021200044,Suns,97.1,120.4,-23.3,0.491,102,0.371
0021200044,Heat,120.4,97.1,23.3,0.657,103,0.629
0021200045,Jazz,96.9,106.2,-9.3,0.491,97,0.424
0021200045,Grizzlies,106.2,96.9,9.3,0.505,97,0.576
0021200046,Trail Blazers,101.1,125.3,-24.2,0.451,90,0.308
0021200046,Mavericks,125.3,101.1,24.2,0.681,91,0.692
0021200047,Spurs,113.5,88.8,24.7,0.545,89,0.699
0021200047,Pacers,88.8,113.5,-24.7,0.445,89,0.301
0021200048,Kings,101.1,97.9,3.2,0.516,93,0.471
0021200048,Warriors,97.9,101.1,-3.2,0.509,94,0.529
0021200049,Clippers,103.1,110.2,-7.1,0.623,98,0.509
0021200049,Cavaliers,110.2,103.1,7.1,0.531,98,0.491
0021200050,Magic,101.1,107.6,-6.5,0.497,92,0.411
0021200050,Bulls,107.6,101.1,6.5,0.523,92,0.589
0021200051,Raptors,88.0,108.0,-20.0,0.463,100,0.325
0021200051,Thunder,108.0,88.0,20.0,0.607,100,0.675
0021200052,Pistons,103.2,118.5,-15.3,0.545,94,0.465
0021200052,Nuggets,118.5,103.2,15.3,0.536,92,0.535
0021200053,Suns,120.6,114.6,6.0,0.555,97,0.528
0021200053,Bobcats,114.6,120.6,-6.0,0.556,96,0.472
0021200054,Wizards,91.3,94.3,-3.1,0.479,103,0.421
0021200054,Celtics,94.3,91.3,3.1,0.521,106,0.579
0021200055,Pacers,95.6,100.0,-4.4,0.483,90,0.483
0021200055,Hawks,100.0,95.6,4.4,0.482,89,0.517
0021200056,Heat,115.7,81.1,34.6,0.613,89,0.749
0021200056,Nets,81.1,115.7,-34.6,0.417,90,0.251
0021200057,Bucks,98.9,120.0,-21.1,0.449,91,0.382
0021200057,Grizzlies,120.0,98.9,21.1,0.591,90,0.618
0021200058,76ers,84.6,68.9,15.7,0.447,91,0.558
0021200058,Hornets,68.9,84.6,-15.7,0.408,90,0.442
0021200059,Rockets,89.7,96.9,-7.2,0.462,97,0.428
0021200059,Nuggets,96.9,89.7,7.2,0.51,96,0.572
0021200060,Magic,80.6,96.8,-16.1,0.422,93,0.325
0021200060,Timberwolves,96.8,80.6,16.1,0.525,93,0.675
0021200061,Raptors,110.6,117.2,-6.6,0.549,94,0.483
0021200061,Mavericks,117.2,110.6,6.6,0.548,93,0.517
0021200062,Jazz,100.0,91.5,8.5,0.522,95,0.583
0021200062,Lakers,91.5,100.0,-8.5,0.456,94,0.417
0021200063,Kings,114.1,112.0,2.2,0.567,92,0.505
0021200063,Pistons,112.0,114.1,-2.2,0.594,92,0.495
0021200064,Spurs,89.4,112.8,-23.4,0.503,94,0.336
0021200064,Clippers,112.8,89.4,23.4,0.609,94,0.664
0021200065,Warriors,109.3,99.0,10.3,0.601,97,0.651
0021200065,Cavaliers,99.0,109.3,-10.3,0.504,97,0.349
0021200066,Thunder,100.0,92.9,7.1,0.59,97,0.58
0021200066,Bulls,92.9,100.0,-7.1,0.495,98,0.42
0021200067,Trail Blazers,102.3,114.4,-12.2,0.51,88,0.385
0021200067,Clippers,114.4,102.3,12.2,0.585,90,0.615
0021200068,Wizards,92.9,103.1,-10.2,0.519,98,0.442
0021200068,Bucks,103.1,92.9,10.2,0.585,98,0.558
0021200069,Magic,78.2,124.4,-46.3,0.462,87,0.276
0021200069,Nets,124.4,78.2,46.3,0.575,86,0.724
0021200070,76ers,110.4,105.3,5.2,0.575,96,0.534
0021200070,Celtics,105.3,110.4,-5.2,0.558,95,0.466
0021200071,Knicks,107.2,96.9,10.3,0.516,97,0.564
0021200071,Mavericks,96.9,107.2,-10.3,0.516,97,0.436
0021200072,Heat,106.7,101.1,5.6,0.572,89,0.541
0021200072,Hawks,101.1,106.7,-5.6,0.505,88,0.459
0021200073,Grizzlies,104.5,95.5,9.0,0.447,89,0.515
0021200073,Rockets,95.5,104.5,-9.0,0.515,89,0.485
0021200074,Hornets,121.6,113.8,7.8,0.58,88,0.561
0021200074,Bobcats,113.8,121.6,-7.8,0.544,87,0.439
0021200075,Thunder,114.1,100.0,14.1,0.637,92,0.563
0021200075,Pistons,100.0,114.1,-14.1,0.486,94,0.438
0021200076,Timberwolves,106.7,102.2,4.5,0.583,90,0.562
0021200076,Pacers,102.2,106.7,-4.5,0.514,92,0.438
0021200077,Suns,108.1,104.0,4.1,0.56,99,0.533
0021200077,Cavaliers,104.0,108.1,-4.1,0.591,101,0.467
0021200078,Spurs,102.1,90.5,11.6,0.581,95,0.639
0021200078,Kings,90.5,102.1,-11.6,0.42,95,0.361
0021200079,Jazz,84.8,104.0,-19.2,0.434,99,0.33
0021200079,Nuggets,104.0,84.8,19.2,0.505,100,0.67
0021200080,Lakers,101.0,77.8,23.2,0.494,100,0.777
0021200080,Warriors,77.8,101.0,-23.2,0.406,99,0.223
0021200081,Raptors,93.3,103.3,-10.1,0.482,89,0.387
0021200081,76ers,103.3,93.3,10.1,0.554,90,0.613
0021200082,Wizards,96.6,102.3,-5.7,0.518,88,0.52
0021200082,Pacers,102.3,96.6,5.7,0.491,87,0.48
0021200083,Mavericks,95.1,98.1,-3.0,0.526,102,0.525
0021200083,Bobcats,98.1,95.1,3.0,0.471,103,0.475
0021200084,Timberwolves,93.0,101.2,-8.1,0.437,86,0.438
0021200084,Bulls,101.2,93.0,8.1,0.5,86,0.562
0021200085,Rockets,101.1,86.3,14.7,0.514,95,0.563
0021200085,Pistons,86.3,101.1,-14.7,0.471,95,0.437
0021200086,Bucks,98.9,102.1,-3.2,0.463,93,0.445
0021200086,Celtics,102.1,98.9,3.2,0.552,94,0.555
0021200087,Jazz,101.1,88.0,13.0,0.531,93,0.64
0021200087,Suns,88.0,101.1,-13.0,0.429,92,0.36
0021200088,Spurs,114.3,110.1,4.2,0.67,98,0.524
0021200088,Trail Blazers,110.1,114.3,-4.2,0.56,99,0.476
0021200089,Warriors,91.0,95.5,-4.5,0.45,111,0.456
0021200089,Nuggets,95.5,91.0,4.5,0.428,112,0.544
0021200090,Magic,82.2,89.1,-6.9,0.403,90,0.401
0021200090,Nets,89.1,82.2,6.9,0.461,92,0.599
0021200091,Clippers,97.8,84.4,13.4,0.52,91,0.589
0021200091,Hawks,84.4,97.8,-13.4,0.481,90,0.411
0021200092,Heat,92.5,111.8,-19.4,0.453,93,0.389
0021200092,Grizzlies,111.8,92.5,19.4,0.559,93,0.611
0021200093,Thunder,107.1,93.8,13.3,0.641,99,0.613
0021200093,Cavaliers,93.8,107.1,-13.3,0.489,97,0.388
0021200094,Kings,97.8,110.8,-12.9,0.468,92,0.393
0021200094,Lakers,110.8,97.8,12.9,0.547,93,0.607
0021200095,Jazz,118.6,112.7,5.9,0.625,118,0.537
0021200095,Raptors,112.7,118.6,-5.9,0.549,118,0.463
0021200096,76ers,94.1,101.9,-7.8,0.522,102,0.438
0021200096,Bucks,101.9,94.1,7.8,0.597,103,0.563
0021200097,Thunder,103.4,101.1,2.2,0.503,89,0.549
0021200097,Pistons,101.1,103.4,-2.2,0.474,89,0.451
0021200098,Bulls,103.3,111.0,-7.7,0.542,92,0.462
