GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022401161,1610612740,Pelicans,NOP,New Orleans,240:00,41,96,0.427,15,47,0.319,14,19,0.737,15,38,53,28,8,0,16,21,111,-25
0022401161,1610612749,Bucks,MIL,Milwaukee,240:00,49,90,0.544,18,45,0.4,20,30,0.667,7,36,43,27,13,4,11,17,136,25
0022401167,1610612752,Knicks,NYK,New York,240:00,42,90,0.467,11,34,0.324,11,14,0.786,11,23,34,32,11,6,14,19,106,-9
0022401167,1610612765,Pistons,DET,Detroit,240:00,47,82,0.573,8,22,0.364,13,18,0.722,9,26,35,20,5,6,15,23,115,9
0022401168,1610612754,Pacers,IND,Indiana,240:00,43,93,0.462,14,41,0.341,14,20,0.7,10,36,46,28,3,11,9,16,114,2
0022401168,1610612739,Cavaliers,CLE,Cleveland,240:00,43,98,0.439,17,37,0.459,9,13,0.692,11,39,50,24,6,3,11,16,112,-2
0022401169,1610612751,Nets,BKN,Brooklyn,240:00,36,90,0.4,22,52,0.423,15,22,0.682,10,31,41,31,8,2,17,26,109,-24
0022401169,1610612737,Hawks,ATL,Atlanta,240:00,48,84,0.571,15,36,0.417,22,33,0.667,7,44,51,36,11,1,15,19,133,24
0022401170,1610612750,Timberwolves,MIN,Minnesota,240:00,48,87,0.552,20,44,0.455,25,28,0.893,8,33,41,29,6,3,16,25,141,16
0022401170,1610612763,Grizzlies,MEM,Memphis,240:00,46,89,0.517,18,36,0.5,15,21,0.714,8,25,33,26,5,2,15,22,125,-16
0022401171,1610612749,Bucks,MIL,Milwaukee,240:00,43,94,0.457,17,39,0.436,22,27,0.815,8,36,44,30,7,8,7,17,125,6
0022401171,1610612765,Pistons,DET,Detroit,240:00,46,93,0.495,18,39,0.462,9,18,0.5,8,34,42,30,1,9,10,19,119,-6
0022401172,1610612753,Magic,ORL,Orlando,240:00,49,85,0.576,13,32,0.406,18,21,0.857,8,27,35,32,14,11,19,28,129,14
0022401172,1610612754,Pacers,IND,Indiana,240:00,40,89,0.449,12,29,0.414,23,35,0.657,17,27,44,24,8,7,17,19,115,-14
0022401173,1610612755,76ers,PHI,Philadelphia,240:00,43,97,0.443,12,35,0.343,12,15,0.8,14,31,45,29,6,6,14,17,110,-14
0022401173,1610612737,Hawks,ATL,Atlanta,240:00,45,94,0.479,16,42,0.381,18,24,0.75,18,35,53,28,9,5,14,15,124,14
0022401174,1610612766,Hornets,CHA,Charlotte,240:00,36,93,0.387,15,40,0.375,7,10,0.7,12,36,48,25,7,4,17,14,94,-36
0022401174,1610612738,Celtics,BOS,Boston,240:00,49,95,0.516,23,51,0.451,9,12,0.75,10,42,52,35,9,8,10,11,130,36
0022401175,1610612752,Knicks,NYK,New York,240:00,36,88,0.409,16,41,0.39,14,20,0.7,10,25,35,22,11,2,8,18,102,-6
0022401175,1610612739,Cavaliers,CLE,Cleveland,240:00,38,77,0.494,11,31,0.355,21,30,0.7,13,36,49,23,7,2,15,17,108,6
0022401176,1610612764,Wizards,WAS,Washington,240:00,35,91,0.385,10,41,0.244,9,12,0.75,8,33,41,26,7,5,16,16,89,-30
0022401176,1610612741,Bulls,CHI,Chicago,240:00,43,93,0.462,13,41,0.317,20,22,0.909,13,41,54,32,8,7,12,13,119,30
0022401177,1610612740,Pelicans,NOP,New Orleans,240:00,38,95,0.4,14,37,0.378,14,20,0.7,12,30,42,27,6,2,13,16,104,-49
0022401177,1610612748,Heat,MIA,Miami,240:00,58,104,0.558,20,45,0.444,17,22,0.773,16,44,60,36,12,5,9,13,153,49
0022401178,1610612761,Raptors,TOR,Toronto,240:00,40,100,0.4,11,39,0.282,11,18,0.611,16,27,43,22,11,4,10,15,102,-22
0022401178,1610612742,Mavericks,DAL,Dallas,240:00,49,89,0.551,15,34,0.441,11,17,0.647,12,44,56,34,8,10,17,12,124,22
0022401179,1610612750,Timberwolves,MIN,Minnesota,240:00,42,77,0.545,11,31,0.355,22,29,0.759,7,41,48,27,5,5,12,15,117,26
0022401179,1610612751,Nets,BKN,Brooklyn,240:00,33,90,0.367,12,41,0.293,13,17,0.765,15,26,41,24,7,1,9,24,91,-26
0022401180,1610612763,Grizzlies,MEM,Memphis,240:00,41,91,0.451,14,43,0.326,13,19,0.684,7,34,41,26,8,5,12,24,109,-8
0022401180,1610612743,Nuggets,DEN,Denver,240:00,44,91,0.484,5,24,0.208,24,31,0.774,11,41,52,32,9,2,12,17,117,8
0022401181,1610612762,Jazz,UTA,Utah,240:00,39,103,0.379,17,63,0.27,16,20,0.8,19,38,57,23,7,3,16,14,111,-34
0022401181,1610612760,Thunder,OKC,Oklahoma City,240:00,56,100,0.56,24,53,0.453,9,13,0.692,5,42,47,41,12,4,10,17,145,34
0022401182,1610612759,Spurs,SAS,San Antonio,240:00,39,90,0.433,13,34,0.382,7,10,0.7,5,35,40,28,7,2,14,7,98,-19
0022401182,1610612756,Suns,PHX,Phoenix,240:00,44,95,0.463,19,47,0.404,10,11,0.909,13,39,52,27,9,10,11,9,117,19
0022401183,1610612757,Trail Blazers,POR,Portland,240:00,32,85,0.376,6,30,0.2,16,22,0.727,13,39,52,21,9,5,22,20,86,-17
