C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
0021200001,0021300001,0021400001,0021500001,0021600001,0021700001,0021800001,0022100001,0022200001,0022300001,0022400001
0021200002,0021300002,0021400002,0021500002,0021600002,0021700002,0021800002,0022100002,0022200002,0022300002,0022400002
0021200003,0021300003,0021400003,0021500003,0021600003,0021700003,0021800003,0022100003,0022200003,0022300003,0022400003
0021200004,0021300004,0021400004,0021500004,0021600004,0021700004,0021800004,0022100004,0022200004,0022300004,0022400004
0021200005,0021300005,0021400005,0021500005,0021600005,0021700005,0021800005,0022100005,0022200005,0022300005,0022400005
0021200006,0021300006,0021400006,0021500006,0021600006,0021700006,0021800006,0022100006,0022200006,0022300006,0022400006
0021200007,0021300007,0021400007,0021500007,0021600007,0021700007,0021800007,0022100007,0022200007,0022300007,0022400007
0021200008,0021300008,0021400008,0021500008,0021600008,0021700008,0021800008,0022100008,0022200008,0022300008,0022400008
0021200009,0021300009,0021400009,0021500009,0021600009,0021700009,0021800009,0022100009,0022200009,0022300009,0022400009
0021200010,0021300010,0021400010,0021500010,0021600010,0021700010,0021800010,0022100010,0022200010,0022300010,0022400010
0021200011,0021300011,0021400011,0021500011,0021600011,0021700011,0021800011,0022100011,0022200011,0022300011,0022400011
0021200012,0021300012,0021400012,0021500012,0021600012,0021700012,0021800012,0022100012,0022200012,0022300012,0022400012
0021200013,0021300013,0021400013,0021500013,0021600013,0021700013,0021800013,0022100013,0022200013,0022300013,0022400013
0021200014,0021300014,0021400014,0021500014,0021600014,0021700014,0021800014,0022100014,0022200014,0022300014,0022400014
0021200015,0021300015,0021400015,0021500015,0021600015,0021700015,0021800015,0022100015,0022200015,0022300015,0022400015
0021200016,0021300016,0021400016,0021500016,0021600016,0021700016,0021800016,0022100016,0022200016,0022300016,0022400016
0021200017,0021300017,0021400017,0021500017,0021600017,0021700017,0021800017,0022100017,0022200017,0022300017,0022400017
0021200018,0021300018,0021400018,0021500018,0021600018,0021700018,0021800018,0022100018,0022200018,0022300018,0022400018
0021200019,0021300019,0021400019,0021500019,0021600019,0021700019,0021800019,0022100019,0022200019,0022300019,0022400019
0021200020,0021300020,0021400020,0021500020,0021600020,0021700020,0021800020,0022100020,0022200020,0022300020,0022400020
0021200021,0021300021,0021400021,0021500021,0021600021,0021700021,0021800021,0022100021,0022200021,0022300021,0022400021
0021200022,0021300022,0021400022,0021500022,0021600022,0021700022,0021800022,0022100022,0022200022,0022300022,0022400022
0021200023,0021300023,0021400023,0021500023,0021600023,0021700023,0021800023,0022100023,0022200023,0022300023,0022400023
0021200024,0021300024,0021400024,0021500024,0021600024,0021700024,0021800024,0022100024,0022200024,0022300024,0022400024
0021200025,0021300025,0021400025,0021500025,0021600025,0021700025,0021800025,0022100025,0022200025,0022300025,0022400025
0021200026,0021300026,0021400026,0021500026,0021600026,0021700026,0021800026,0022100026,0022200026,0022300026,0022400026
0021200027,0021300027,0021400027,0021500027,0021600027,0021700027,0021800027,0022100027,0022200027,0022300027,0022400027
0021200028,0021300028,0021400028,0021500028,0021600028,0021700028,0021800028,0022100028,0022200028,0022300028,0022400028
0021200029,0021300029,0021400029,0021500029,0021600029,0021700029,0021800029,0022100029,0022200029,0022300029,0022400029
0021200030,0021300030,0021400030,0021500030,0021600030,0021700030,0021800030,0022100030,0022200030,0022300030,0022400030
0021200031,0021300031,0021400031,0021500031,0021600031,0021700031,0021800031,0022100031,0022200031,0022300031,0022400031
0021200032,0021300032,0021400032,0021500032,0021600032,0021700032,0021800032,0022100032,0022200032,0022300032,0022400032
0021200033,0021300033,0021400033,0021500033,0021600033,0021700033,0021800033,0022100033,0022200033,0022300033,0022400033
0021200034,0021300034,0021400034,0021500034,0021600034,0021700034,0021800034,0022100034,0022200034,0022300034,0022400034
0021200035,0021300035,0021400035,0021500035,0021600035,0021700035,0021800035,0022100035,0022200035,0022300035,0022400035
0021200036,0021300036,0021400036,0021500036,0021600036,0021700036,0021800036,0022100036,0022200036,0022300036,0022400036
0021200037,0021300037,0021400037,0021500037,0021600037,0021700037,0021800037,0022100037,0022200037,0022300037,0022400037
0021200038,0021300038,0021400038,0021500038,0021600038,0021700038,0021800038,0022100038,0022200038,0022300038,0022400038
0021200039,0021300039,0021400039,0021500039,0021600039,0021700039,0021800039,0022100039,0022200039,0022300039,0022400039
0021200040,0021300040,0021400040,0021500040,0021600040,0021700040,0021800040,0022100040,0022200040,0022300040,0022400040
0021200041,0021300041,0021400041,0021500041,0021600041,0021700041,0021800041,0022100041,0022200041,0022300041,0022400041
0021200042,0021300042,0021400042,0021500042,0021600042,0021700042,0021800042,0022100042,0022200042,0022300042,0022400042
0021200043,0021300043,0021400043,0021500043,0021600043,0021700043,0021800043,0022100043,0022200043,0022300043,0022400043
0021200044,0021300044,0021400044,0021500044,0021600044,0021700044,0021800044,0022100044,0022200044,0022300044,0022400044
0021200045,0021300045,0021400045,0021500045,0021600045,0021700045,0021800045,0022100045,0022200045,0022300045,0022400045
0021200046,0021300046,0021400046,0021500046,0021600046,0021700046,0021800046,0022100046,0022200046,0022300046,0022400046
0021200047,0021300047,0021400047,0021500047,0021600047,0021700047,0021800047,0022100047,0022200047,0022300047,0022400047
